B,seed,mean_draws,pred_mean,A,tail_0.1,bound_0.1,tail_0.01,bound_0.01,tail_0.001,bound_0.001
0.5,0,1.623745,1.6323622876363053,0.6126091049604073,0.001935,12.214866903195173,3.5e-05,21.603479728344766,0.0,30.99209255349436
0.5,1,1.628085,1.6323622876363053,0.6126091049604073,0.00197,12.214866903195173,3.5e-05,21.603479728344766,0.0,30.99209255349436
0.5,2,1.63199,1.6323622876363053,0.6126091049604073,0.002015,12.214866903195173,2.5e-05,21.603479728344766,0.0,30.99209255349436
0.5,3,1.62808,1.6323622876363053,0.6126091049604073,0.001875,12.214866903195173,1e-05,21.603479728344766,0.0,30.99209255349436
0.5,4,1.62721,1.6323622876363053,0.6126091049604073,0.00188,12.214866903195173,5e-06,21.603479728344766,0.0,30.99209255349436
0.5,5,1.634035,1.6323622876363053,0.6126091049604073,0.00195,12.214866903195173,5e-06,21.603479728344766,0.0,30.99209255349436
0.5,6,1.630505,1.6323622876363053,0.6126091049604073,0.00188,12.214866903195173,4e-05,21.603479728344766,0.0,30.99209255349436
0.5,7,1.631025,1.6323622876363053,0.6126091049604073,0.00216,12.214866903195173,2.5e-05,21.603479728344766,0.0,30.99209255349436
0.5,8,1.626765,1.6323622876363053,0.6126091049604073,0.00197,12.214866903195173,2e-05,21.603479728344766,0.0,30.99209255349436
0.5,9,1.63406,1.6323622876363053,0.6126091049604073,0.0019,12.214866903195173,3e-05,21.603479728344766,0.0,30.99209255349436
1.0,0,5.22773,5.225514611734754,0.38273742369960473,5e-06,66.40690148000249,0.0,117.44869275408584,0.0,168.4904840281692
1.0,1,5.20652,5.225514611734754,0.38273742369960473,0.0,66.40690148000249,0.0,117.44869275408584,0.0,168.4904840281692
1.0,2,5.23314,5.225514611734754,0.38273742369960473,1.5e-05,66.40690148000249,0.0,117.44869275408584,0.0,168.4904840281692
1.0,3,5.214835,5.225514611734754,0.38273742369960473,2.5e-05,66.40690148000249,0.0,117.44869275408584,0.0,168.4904840281692
1.0,4,5.212515,5.225514611734754,0.38273742369960473,1e-05,66.40690148000249,0.0,117.44869275408584,0.0,168.4904840281692
1.0,5,5.209095,5.225514611734754,0.38273742369960473,1.5e-05,66.40690148000249,0.0,117.44869275408584,0.0,168.4904840281692
1.0,6,5.235345,5.225514611734754,0.38273742369960473,1e-05,66.40690148000249,0.0,117.44869275408584,0.0,168.4904840281692
1.0,7,5.23345,5.225514611734754,0.38273742369960473,0.0,66.40690148000249,0.0,117.44869275408584,0.0,168.4904840281692
1.0,8,5.244415,5.225514611734754,0.38273742369960473,0.0,66.40690148000249,0.0,117.44869275408584,0.0,168.4904840281692
1.0,9,5.225905,5.225514611734754,0.38273742369960473,1e-05,66.40690148000249,0.0,117.44869275408584,0.0,168.4904840281692
2.0,0,25.33315,25.338431452651133,0.15786296825336774,0.0,981.3686407837985,0.0,1735.6699590120202,0.0,2489.9712772402418
2.0,1,25.329225,25.338431452651133,0.15786296825336774,0.0,981.3686407837985,0.0,1735.6699590120202,0.0,2489.9712772402418
2.0,2,25.24728,25.338431452651133,0.15786296825336774,0.0,981.3686407837985,0.0,1735.6699590120202,0.0,2489.9712772402418
2.0,3,25.38812,25.338431452651133,0.15786296825336774,0.0,981.3686407837985,0.0,1735.6699590120202,0.0,2489.9712772402418
2.0,4,25.348705,25.338431452651133,0.15786296825336774,0.0,981.3686407837985,0.0,1735.6699590120202,0.0,2489.9712772402418
2.0,5,25.343005,25.338431452651133,0.15786296825336774,0.0,981.3686407837985,0.0,1735.6699590120202,0.0,2489.9712772402418
2.0,6,25.457875,25.338431452651133,0.15786296825336774,0.0,981.3686407837985,0.0,1735.6699590120202,0.0,2489.9712772402418
2.0,7,25.338525,25.338431452651133,0.15786296825336774,0.0,981.3686407837985,0.0,1735.6699590120202,0.0,2489.9712772402418
2.0,8,25.337035,25.338431452651133,0.15786296825336774,0.0,981.3686407837985,0.0,1735.6699590120202,0.0,2489.9712772402418
2.0,9,25.246095,25.338431452651133,0.15786296825336774,0.0,981.3686407837985,0.0,1735.6699590120202,0.0,2489.9712772402418
