k,kl,delta,method,G
0,-5.3394831611822637e-17,0.1,fors,
2,1.8459986638325912e-17,0.1,fors,
3,-5.1728932258971475e-17,0.1,fors,
5,7.138193075844834e-18,0.1,fors,
8,-4.0045472111708636e-17,0.1,fors,
13,-4.665563312356483e-17,0.1,fors,
20,-6.220700451518563e-17,0.1,fors,
31,-4.289633998828721e-17,0.1,fors,
48,-3.348025399313754e-17,0.1,fors,
74,-2.4783079912052125e-17,0.1,fors,
114,3.534352097298344e-17,0.1,fors,
175,-2.423023194044639e-17,0.1,fors,
270,1.5963985935280794e-18,0.1,fors,
416,1.3400529863418791e-14,0.1,fors,
640,3.8166310636442943e-17,0.1,fors,
985,-9.51157436574919e-18,0.1,fors,
0,-3.1060241709525134e-17,0.01,fors,
2,3.3011663813679036e-17,0.01,fors,
4,-1.3833975549505072e-17,0.01,fors,
7,-1.9969146684407585e-17,0.01,fors,
13,1.602846514643326e-17,0.01,fors,
22,-5.6628985490909305e-18,0.01,fors,
37,1.5050806793261745e-18,0.01,fors,
61,1.760200406157669e-18,0.01,fors,
103,3.947833947954747e-17,0.01,fors,
173,4.520130114060767e-17,0.01,fors,
291,1.675324893444536e-17,0.01,fors,
487,4.066958195285344e-17,0.01,fors,
817,-1.2323173894705875e-17,0.01,fors,
1369,2.3076690323793538e-17,0.01,fors,
2293,-1.0131221791030186e-17,0.01,fors,
3841,1.667223840093451e-17,0.01,fors,
0,-5.666230788519413e-17,0.001,fors,
3,-4.801982022357123e-18,0.001,fors,
5,-2.873584205903027e-18,0.001,fors,
9,7.91655253429982e-17,0.001,fors,
17,-6.3240510404598e-18,0.001,fors,
30,1.5266320919544136e-17,0.001,fors,
54,3.336271230305229e-17,0.001,fors,
96,2.3175621898374908e-17,0.001,fors,
171,-3.5038482639662234e-17,0.001,fors,
302,2.905829269768124e-17,0.001,fors,
536,-5.609497706955236e-17,0.001,fors,
949,1.1599409816125995e-17,0.001,fors,
1681,4.3101988406795894e-17,0.001,fors,
2978,-6.5719600555045395e-18,0.001,fors,
5273,-7.875989774665875e-18,0.001,fors,
9336,-1.3705609068089915e-17,0.001,fors,
0,0.0002717277934504341,,ddpm,30.0
2,0.00027172593236459005,,ddpm,30.0
3,0.0002717249550513168,,ddpm,30.0
5,0.0002717229016305281,,ddpm,30.0
7,0.00027172070906925495,,ddpm,30.0
11,0.0002717158681838985,,ddpm,30.0
17,0.00027170730599275614,,ddpm,30.0
25,0.0002716929275156064,,ddpm,30.0
38,0.00027165981054933907,,ddpm,30.0
57,0.00027157735239532473,,ddpm,30.0
86,0.0002712953310670578,,ddpm,30.0
129,0.00026988171810449777,,ddpm,30.0
194,0.0002567742892974838,,ddpm,30.0
292,0.00014233423726139012,,ddpm,30.0
438,4.0145536933356174e-06,,ddpm,30.0
657,2.9574571684501462e-12,,ddpm,30.0
0,2.717074656197056e-05,,ddpm,95.58497852172911
2,2.7170689670006264e-05,,ddpm,95.58497852172911
4,2.717063158151303e-05,,ddpm,95.58497852172911
6,2.7170572271691334e-05,,ddpm,95.58497852172911
10,2.7170449883900196e-05,,ddpm,95.58497852172911
17,2.7170223056859295e-05,,ddpm,95.58497852172911
28,2.7169831495726703e-05,,ddpm,95.58497852172911
45,2.7169130934233572e-05,,ddpm,95.58497852172911
73,2.7167669473119247e-05,,ddpm,95.58497852172911
118,2.7164216730663194e-05,,ddpm,95.58497852172911
190,2.7153921784006983e-05,,ddpm,95.58497852172911
307,2.7107570446213917e-05,,ddpm,95.58497852172911
495,2.6714372744930088e-05,,ddpm,95.58497852172911
799,1.9424959582317684e-05,,ddpm,95.58497852172911
1287,2.069105503703336e-06,,ddpm,95.58497852172911
2075,2.7418940490934564e-13,,ddpm,95.58497852172911
0,2.6892520954602495e-06,,ddpm,304.5496039666471
3,2.6892494622156953e-06,,ddpm,304.5496039666471
5,2.689247692316929e-06,,ddpm,304.5496039666471
9,2.6892441173613183e-06,,ddpm,304.5496039666471
15,2.689238666229945e-06,,ddpm,304.5496039666471
27,2.6892274374129276e-06,,ddpm,304.5496039666471
46,2.6892087298871737e-06,,ddpm,304.5496039666471
81,2.689171065391366e-06,,ddpm,304.5496039666471
140,2.6890969263329787e-06,,ddpm,304.5496039666471
243,2.6889276120920466e-06,,ddpm,304.5496039666471
422,2.6884560989225637e-06,,ddpm,304.5496039666471
731,2.6865949345287687e-06,,ddpm,304.5496039666471
1267,2.672665908654646e-06,,ddpm,304.5496039666471
2195,2.3776699851186778e-06,,ddpm,304.5496039666471
3804,7.042571535683454e-07,,ddpm,304.5496039666471
6590,2.705943919404902e-14,,ddpm,304.5496039666471
0,2.6530530205596954e-07,,ddpm,970.345578465103
3,2.65305220870278e-07,,ddpm,970.345578465103
6,2.6530513932613186e-07,,ddpm,970.345578465103
12,2.653049756693761e-07,,ddpm,970.345578465103
22,2.653047004097251e-07,,ddpm,970.345578465103
41,2.65304169938431e-07,,ddpm,970.345578465103
77,2.653031355709623e-07,,ddpm,970.345578465103
144,2.65301105554686e-07,,ddpm,970.345578465103
269,2.6529692254797444e-07,,ddpm,970.345578465103
502,2.652875312596384e-07,,ddpm,970.345578465103
935,2.6526279599952885e-07,,ddpm,970.345578465103
1743,2.6517357154961646e-07,,ddpm,970.345578465103
3246,2.645903211782935e-07,,ddpm,970.345578465103
6046,2.526982242669117e-07,,ddpm,970.345578465103
11262,1.3791896428823473e-07,,ddpm,970.345578465103
20976,2.599307178137818e-15,,ddpm,970.345578465103
0,2.614651322384267e-08,,ddpm,3091.6820425413916
2,2.614651146793296e-08,,ddpm,3091.6820425413916
4,2.6146509827735348e-08,,ddpm,3091.6820425413916
8,2.614650647157105e-08,,ddpm,3091.6820425413916
