target,tau,sup_opnorm,exact
gauss(v=0.3),0.05,0.8571428571428572,True
gauss(v=0.3),0.5,0.37499999999999994,True
gauss(v=0.3),5.0,0.05660377358490566,True
gauss(v=1.0),0.05,0.9523809523809523,True
gauss(v=1.0),0.5,0.6666666666666666,True
gauss(v=1.0),5.0,0.16666666666666666,True
gauss(v=4.0),0.05,0.9876543209876544,True
gauss(v=4.0),0.5,0.8888888888888888,True
gauss(v=4.0),5.0,0.4444444444444444,True
logcosh,0.05,0.9523809523808624,False
logcosh,0.2,0.8333333332494415,False
logcosh,1.0,0.4989956391233061,False
logcosh,5.0,0.07234757949625123,False
