pot,h,n,chi2
logcosh,0.1,1,1.0569057330250629
logcosh,0.1,2,0.44385604495077047
logcosh,0.1,3,0.20669945939131873
logcosh,0.1,4,0.10936661608277198
logcosh,0.1,5,0.06687956833130482
logcosh,0.1,6,0.04708510580468506
logcosh,0.1,7,0.03724456336453885
logcosh,0.1,8,0.03205557190073227
logcosh,0.1,9,0.029183568493659662
logcosh,0.1,10,0.027534922551402108
logcosh,0.1,11,0.02656397737952587
logcosh,0.1,12,0.025982293592970107
logcosh,0.1,13,0.025629953751027834
logcosh,0.1,14,0.02541505048477255
logcosh,0.1,15,0.02528341211529561
logcosh,0.1,16,0.025202566547077865
logcosh,0.1,17,0.02515283691697734
logcosh,0.1,18,0.025122218387304995
logcosh,0.1,19,0.025103356013382427
logcosh,0.1,20,0.02509173214913396
logcosh,0.1,21,0.025084567636839417
logcosh,0.1,22,0.025080151231047232
logcosh,0.1,23,0.0250774286762121
logcosh,0.1,24,0.025075750268163777
logcosh,0.01,1,2.48110384147233
logcosh,0.01,2,2.2438099898389154
logcosh,0.01,3,2.030474559539801
logcosh,0.01,4,1.8385094119786158
logcosh,0.01,5,1.6656289753684526
logcosh,0.01,6,1.5098117500124184
logcosh,0.01,7,1.369267143333329
logcosh,0.01,8,1.2424068315160017
logcosh,0.01,9,1.127819978037813
logcosh,0.01,10,1.0242517472039978
logcosh,0.01,11,0.9305846392721953
logcosh,0.01,12,0.8458222469783807
logcosh,0.01,13,0.769075094251706
logcosh,0.01,14,0.6995482688999144
logcosh,0.01,15,0.636530603838867
logcosh,0.01,16,0.5793851974503785
logcosh,0.01,17,0.5275410940313183
logcosh,0.01,18,0.48048597098164336
logcosh,0.01,19,0.43775970113981844
logcosh,0.01,20,0.3989486771462518
logcosh,0.01,21,0.3636808004251555
logcosh,0.01,22,0.3316210507597317
logcosh,0.01,23,0.30246756385899864
logcosh,0.01,24,0.2759481540808313
logcosh,0.01,25,0.2518172278394313
logcosh,0.01,26,0.22985304039973453
logcosh,0.01,27,0.20985525492534896
logcosh,0.01,28,0.19164276795133084
logcosh,0.01,29,0.17505177002555872
logcosh,0.01,30,0.1599340142098613
logcosh,0.01,31,0.14615526854529914
logcosh,0.01,32,0.13359393154180754
logcosh,0.01,33,0.12213979231608763
logcosh,0.01,34,0.11169291922852875
logcosh,0.01,35,0.10216266280721031
logcosh,0.01,36,0.09346676043482605
logcosh,0.01,37,0.08553053174697167
logcosh,0.01,38,0.0782861549769458
logcosh,0.01,39,0.07167201560808034
logcosh,0.01,40,0.06563211968115334
logcosh,0.01,41,0.060115564970049995
logcosh,0.01,42,0.055076063999438096
logcosh,0.01,43,0.05047151354737944
logcosh,0.01,44,0.04626360586533762
logcosh,0.01,45,0.042417477368076106
logcosh,0.01,46,0.038901391005253805
logcosh,0.01,47,0.035686448932697123
logcosh,0.01,48,0.03274633246099512
logcosh,0.01,49,0.03005706657783902
logcosh,0.01,50,0.02759680662347952
logcosh,0.01,200,0.0002150880843545533
logcosh,0.01,400,0.00021143932473988158
logcosh,0.01,600,0.00021143889345087707
logcosh,0.001,1,2.7175386257659557
logcosh,0.001,2,2.6900843917939934
logcosh,0.001,3,2.662925426801693
logcosh,0.001,4,2.6360582872811356
logcosh,0.001,5,2.609479573896224
logcosh,0.001,6,2.5831859308534653
logcosh,0.001,7,2.5571740452829737
logcosh,0.001,8,2.5314406466294233
logcosh,0.001,9,2.5059825060528214
logcosh,0.001,10,2.4807964358387995
logcosh,0.001,11,2.455879288818349
logcosh,0.001,12,2.431227957796733
logcosh,0.001,13,2.4068393749914314
logcosh,0.001,14,2.382710511478947
logcosh,0.001,15,2.3588383766502954
logcosh,0.001,16,2.3352200176750237
logcosh,0.001,17,2.311852518973598
logcosh,0.001,18,2.2887330016980068
logcosh,0.001,19,2.2658586232204243
logcosh,0.001,20,2.2432265766298176
logcosh,0.001,21,2.2208340902362984
logcosh,0.001,22,2.1986784270831423
logcosh,0.001,23,2.176756884466302
logcosh,0.001,24,2.1550667934612986
logcosh,0.001,25,2.1336055184573532
logcosh,0.001,26,2.1123704566986365
logcosh,0.001,27,2.091359037832529
logcosh,0.001,28,2.0705687234647234
logcosh,0.001,29,2.049997006721126
logcosh,0.001,30,2.0296414118163537
logcosh,0.001,31,2.0094994936288013
logcosh,0.001,32,1.9895688372820999
logcosh,0.001,33,1.9698470577328893
logcosh,0.001,34,1.9503317993648008
logcosh,0.001,35,1.9310207355885343
logcosh,0.001,36,1.9119115684479273
logcosh,0.001,37,1.8930020282319244
logcosh,0.001,38,1.8742898730923496
logcosh,0.001,39,1.855772888667377
logcosh,0.001,40,1.8374488877106057
logcosh,0.001,41,1.819315709725657
logcosh,0.001,42,1.8013712206061934
logcosh,0.001,43,1.78361331228127
logcosh,0.001,44,1.766039902365943
logcosh,0.001,45,1.7486489338170292
logcosh,0.001,46,1.7314383745939605
logcosh,0.001,47,1.7144062173246075
logcosh,0.001,48,1.6975504789760514
logcosh,0.001,49,1.6808692005301626
logcosh,0.001,50,1.6643604466639514
logcosh,0.001,200,0.3960694259438844
logcosh,0.001,400,0.06310792339147508
logcosh,0.001,600,0.010442966346916993
logcosh,0.001,800,0.001775965688399328
logcosh,0.001,1000,0.00031620622188066605
logcosh,0.001,1200,6.24312979453645e-05
logcosh,0.001,1400,1.5458681237978666e-05
logcosh,0.001,1600,5.67235532433763e-06
logcosh,0.001,1800,3.23569683846614e-06
logcosh,0.001,2000,2.500009204098319e-06
logcosh,0.001,2200,2.2428794850259948e-06
logcosh,0.001,2400,2.1451776937020384e-06
logcosh,0.001,2600,2.1065406978770795e-06
logcosh,0.001,2800,2.0909926532475254e-06
logcosh,0.001,3000,2.0846901009896612e-06
logcosh,0.001,3200,2.082127634528419e-06
logcosh,0.001,3400,2.0810845258179e-06
logcosh,0.001,3600,2.080659695646858e-06
logcosh,0.001,3800,2.08048663941085e-06
